name,interaction,isStart,isEnd,comment,toNodes,headers,body
0,N,True,False,,1:P/5:X/18:X,,
1,N,False,False,,2:P/3:P,,
2,E,False,False,,4:P,,
3,N,False,False,,4:P,,
4,N,False,False,,5:P,,
5,N,False,False,,6:X/7:P,,
6,N,False,False,,17:P/1:P,,
7,N,False,False,,8:P/1:P,,
8,N,False,False,,9:P/11:P,,
9,N,False,False,,10:P,,
10,N,False,False,,17:P,,
11,N,False,False,,12:P/13:P,,
12,N,False,False,,10:P,,
13,N,False,False,,14:P,,
14,P,False,False,,15:P/16:P,,token:P/uri:F/account:P/format:N/marker:N,
15,N,False,False,,17:P,,
16,N,False,False,,17:P,,
18,X,False,False,,5:P,,
17,N,False,True,,,
